totalempreendimentos;DscClasseConsumo;MdaPotenciaInstaladaKW;SigUF
2;Comercial;10,20;MS
5;Comercial;10,20;MT
2;Comercial;10,20;PA
4;Comercial;10,20;PB
2;Comercial;10,20;PE
1;Comercial;10,20;PI
8;Comercial;10,20;PR
3;Comercial;10,20;RJ
1;Comercial;10,20;RN
1;Comercial;10,20;RO
19;Comercial;10,20;RS
4;Comercial;10,20;SC
2;Comercial;10,20;SE
9;Comercial;10,20;SP
2;Comercial;10,20;TO
1;Comercial;102,00;AL
1;Comercial;102,00;CE
1;Comercial;102,00;DF
1;Comercial;102,00;MG
1;Comercial;102,00;MS
2;Comercial;102,00;PA
3;Comercial;102,00;PB
2;Comercial;102,00;PR
1;Comercial;102,00;RJ
2;Comercial;102,00;RN
1;Comercial;102,00;RS
1;Comercial;102,00;SP
1;Comercial;102,00;TO
1;Comercial;10,21;SE
1;Comercial;10,22;CE
1;Comercial;10,22;PE
3;Comercial;10,22;RS
2;Comercial;10,23;BA
1;Comercial;10,23;CE
1;Comercial;10,23;ES
2;Comercial;10,23;GO
3;Comercial;10,23;MG
1;Comercial;10,23;PB
1;Comercial;10,23;PR
2;Comercial;10,23;RN
5;Comercial;10,23;RS
1;Comercial;10,23;SC
2;Comercial;10,23;SP
1;Comercial;10,24;MG
2;Comercial;10,24;MT
2;Comercial;10,24;PR
4;Comercial;10,24;RS
1;Comercial;10,24;SC
1;Comercial;10,24;SP
1;Comercial;102,46;MG
1;Comercial;102,46;PR
1;Comercial;10,25;BA
2;Comercial;10,25;CE
1;Comercial;10,25;MS
1;Comercial;102,50;RJ
2;Comercial;102,51;PB
1;Comercial;102,51;RJ
1;Comercial;10,26;AL
1;Comercial;10,26;BA
2;Comercial;10,26;ES
1;Comercial;10,26;MA
1;Comercial;10,26;MG
1;Comercial;10,26;PA
2;Comercial;10,26;PE
2;Comercial;10,26;PI
2;Comercial;10,26;PR
1;Comercial;10,26;RR
4;Comercial;10,26;RS
3;Comercial;10,26;SP
2;Comercial;102,60;CE
1;Comercial;102,60;PE
1;Comercial;102,60;PI
2;Comercial;10,27;RS
1;Comercial;10,29;MS
1;Comercial;10,29;RS
1;Comercial;10,29;SP
1;Comercial;102,96;PB
1;Comercial;1,03;PR
2;Comercial;10,30;CE
1;Comercial;10,30;MA
1;Comercial;10,30;MG
1;Comercial;10,30;PB
1;Comercial;10,30;PE
1;Comercial;10,30;PI
7;Comercial;10,30;PR
1;Comercial;10,30;RN
2;Comercial;10,30;RS
1;Comercial;10,30;SC
2;Comercial;103,00;CE
1;Comercial;103,00;RS
1;Comercial;103,12;PB
1;Comercial;103,18;RO
1;Comercial;10,32;BA
1;Comercial;10,32;PB
1;Comercial;103,35;ES
1;Comercial;103,36;PB
1;Comercial;103,36;PE
1;Comercial;103,36;SC
1;Comercial;10,34;PE
2;Comercial;10,35;AL
3;Comercial;10,35;BA
1;Comercial;10,35;GO
1;Comercial;10,35;MA
6;Comercial;10,35;MG
1;Comercial;10,35;MT
1;Comercial;10,35;PB
3;Comercial;10,35;PE
1;Comercial;10,35;PR
1;Comercial;10,35;RJ
2;Comercial;10,35;RN
8;Comercial;10,35;RS
1;Comercial;10,35;SC
1;Comercial;10,35;SE
5;Comercial;10,35;SP
1;Comercial;103,50;PI
3;Comercial;10,36;BA
2;Comercial;10,36;GO
1;Comercial;10,36;PR
7;Comercial;10,36;RS
1;Comercial;103,60;PE
1;Comercial;103,70;AM
1;Comercial;10,39;BA
1;Comercial;10,39;PR
1;Comercial;10,39;RS
1;Comercial;103,95;TO
1;Comercial;1,04;SC
1;Comercial;1,04;SE
3;Comercial;10,40;BA
2;Comercial;10,40;CE
4;Comercial;10,40;GO
5;Comercial;10,40;MG
1;Comercial;10,40;MS
2;Comercial;10,40;MT
2;Comercial;10,40;PB
7;Comercial;10,40;PE
1;Comercial;10,40;PI
1;Comercial;10,40;PR
1;Comercial;10,40;RJ
1;Comercial;10,40;RN
12;Comercial;10,40;RS
3;Comercial;10,40;SC
1;Comercial;10,40;SE
9;Comercial;10,40;SP
1;Comercial;104,00;MS
2;Comercial;104,00;PB
1;Comercial;104,00;PE
2;Comercial;104,00;PR
2;Comercial;104,00;RS
1;Comercial;104,00;SC
1;Comercial;104,00;SE
1;Comercial;104,00;TO
1;Comercial;10,41;MA
3;Comercial;1041,25;MS
1;Comercial;10,44;DF
6;Comercial;10,44;MG
1;Comercial;10,45;AM
8;Comercial;10,45;BA
1;Comercial;10,45;GO
2;Comercial;10,45;MG
3;Comercial;10,45;MT
1;Comercial;10,45;PB
5;Comercial;10,45;PR
1;Comercial;10,45;RN
4;Comercial;10,45;RS
5;Comercial;10,45;SP
2;Comercial;10,45;TO
1;Comercial;104,52;MG
1;Comercial;10,47;MT
1;Comercial;10,47;PI
1;Comercial;10,47;RN
1;Comercial;1,05;MG
1;Comercial;1,05;MT
4;Comercial;1,05;PR
1;Comercial;1,05;RS
1;Comercial;1,05;SC
3;Comercial;1,05;SP
3;Comercial;10,50;AC
7;Comercial;10,50;AL
3;Comercial;10,50;AM
1;Comercial;10,50;AP
54;Comercial;10,50;BA
17;Comercial;10,50;CE
4;Comercial;10,50;DF
11;Comercial;10,50;ES
25;Comercial;10,50;GO
4;Comercial;10,50;MA
125;Comercial;10,50;MG
28;Comercial;10,50;MS
41;Comercial;10,50;MT
23;Comercial;10,50;PA
18;Comercial;10,50;PB
21;Comercial;10,50;PE
4;Comercial;10,50;PI
123;Comercial;10,50;PR
20;Comercial;10,50;RJ
25;Comercial;10,50;RN
8;Comercial;10,50;RO
47;Comercial;10,50;RS
6;Comercial;10,50;SC
6;Comercial;10,50;SE
109;Comercial;10,50;SP
8;Comercial;10,50;TO
1;Comercial;105,00;AL
1;Comercial;105,00;AM
2;Comercial;105,00;BA
1;Comercial;105,00;CE
1;Comercial;105,00;DF
4;Comercial;105,00;MG
1;Comercial;105,00;MS
1;Comercial;105,00;MT
1;Comercial;105,00;PA
1;Comercial;105,00;PB
1;Comercial;105,00;PI
2;Comercial;105,00;PR
1;Comercial;105,00;RJ
1;Comercial;105,00;RN
1;Comercial;105,00;RO
3;Comercial;105,00;RS
1;Comercial;105,00;SP
1;Comercial;1050,00;DF
2;Comercial;105,06;BA
1;Comercial;105,19;AC
1;Comercial;10,52;MG
1;Comercial;10,52;RS
1;Comercial;105,20;PI
1;Comercial;1052,53;DF
1;Comercial;10,53;AC
2;Comercial;10,53;BA
1;Comercial;10,53;MA
1;Comercial;10,53;PR
2;Comercial;10,53;RN
5;Comercial;10,53;RS
1;Comercial;10,53;SC
1;Comercial;10,53;SP
2;Comercial;10,54;BA
1;Comercial;10,54;CE
1;Comercial;10,54;MT
2;Comercial;10,54;PE
1;Comercial;10,54;PR
2;Comercial;10,54;RN
1;Comercial;10,54;RS
1;Comercial;10,54;SC
1;Comercial;10,55;RS
1;Comercial;10,55;SP
2;Comercial;10,56;AM
4;Comercial;10,56;BA
5;Comercial;10,56;CE
3;Comercial;10,56;ES
3;Comercial;10,56;GO
7;Comercial;10,56;MG
1;Comercial;10,56;MT
14;Comercial;10,56;PB
2;Comercial;10,56;PE
1;Comercial;10,56;PI
4;Comercial;10,56;PR
3;Comercial;10,56;RJ
1;Comercial;10,56;RN
26;Comercial;10,56;RS
12;Comercial;10,56;SC
5;Comercial;10,56;SP
3;Comercial;10,56;TO
2;Comercial;105,60;BA
2;Comercial;105,60;MG
1;Comercial;105,60;MS
1;Comercial;105,60;MT
1;Comercial;105,60;PI
1;Comercial;105,60;RN
2;Comercial;1056,00;MA
1;Comercial;10,58;BA
2;Comercial;10,58;CE
1;Comercial;10,58;GO
5;Comercial;10,58;PR
1;Comercial;105,86;GO
1;Comercial;10,59;PE
1;Comercial;1,06;MG
2;Comercial;10,60;BA
4;Comercial;10,60;GO
6;Comercial;10,60;MG
1;Comercial;10,60;PB
2;Comercial;10,60;PE
3;Comercial;10,60;PI
4;Comercial;10,60;PR
1;Comercial;10,60;RJ
1;Comercial;10,60;RN
1;Comercial;10,60;RO
4;Comercial;10,60;RS
1;Comercial;10,60;SC
1;Comercial;10,60;SE
5;Comercial;10,60;SP
1;Comercial;106,00;CE
1;Comercial;106,00;MA
1;Comercial;106,00;MG
2;Comercial;106,00;RJ
1;Comercial;106,00;RS
1;Comercial;10,61;MA
1;Comercial;10,62;ES
1;Comercial;10,62;PA
1;Comercial;10,62;RO
1;Comercial;10,62;RS
1;Comercial;10,63;RS
1;Comercial;10,64;BA
2;Comercial;10,64;CE
1;Comercial;10,64;MA
1;Comercial;10,64;RN
3;Comercial;10,65;MG
1;Comercial;10,65;RN
1;Comercial;10,65;RS
1;Comercial;106,56;SP
1;Comercial;10,66;MG
1;Comercial;10,66;PR
2;Comercial;10,66;RS
1;Comercial;10,67;PR
1;Comercial;10,67;RS
1;Comercial;10,68;MG
2;Comercial;10,68;PB
1;Comercial;10,68;PE
2;Comercial;10,68;PR
7;Comercial;10,68;RS
1;Comercial;10,68;SP
1;Comercial;10,69;BA
1;Comercial;10,69;PB
1;Comercial;10,69;SC
1;Comercial;106,90;PR
4;Comercial;10,70;BA
1;Comercial;10,70;CE
1;Comercial;10,70;ES
2;Comercial;10,70;MA
2;Comercial;10,70;MG
1;Comercial;10,70;MS
2;Comercial;10,70;PB
3;Comercial;10,70;PR
1;Comercial;10,70;RJ
1;Comercial;10,70;RN
4;Comercial;10,70;RS
1;Comercial;10,70;SC
1;Comercial;10,70;SP
1;Comercial;107,00;PR
1;Comercial;107,00;RN
1;Comercial;107,00;RO
1;Comercial;10,71;ES
1;Comercial;10,71;GO
1;Comercial;10,71;MT
1;Comercial;10,71;RJ
1;Comercial;10,71;RN
3;Comercial;10,71;RS
4;Comercial;10,71;SP
2;Comercial;10,72;AC
3;Comercial;10,72;BA
2;Comercial;10,72;GO
2;Comercial;10,72;MG
2;Comercial;10,72;MS
2;Comercial;10,72;PB
3;Comercial;10,72;PE
1;Comercial;10,72;PI
3;Comercial;10,72;PR
1;Comercial;10,72;RJ
9;Comercial;10,72;RS
4;Comercial;10,72;SC
5;Comercial;10,72;SP
1;Comercial;107,20;BA
1;Comercial;107,20;PB
1;Comercial;107,20;RJ
1;Comercial;10,73;PB
1;Comercial;10,75;RN
1;Comercial;107,50;MT
2;Comercial;107,50;PR
1;Comercial;10,76;PA
1;Comercial;10,76;RS
1;Comercial;107,64;BA
1;Comercial;10,78;GO
1;Comercial;10,78;MS
1;Comercial;10,78;MT
2;Comercial;10,78;PR
1;Comercial;10,79;PB
1;Comercial;10,79;RS
1;Comercial;10,79;SP
1;Comercial;10,79;TO
1;Comercial;1,08;BA
1;Comercial;1,08;MS
5;Comercial;1,08;PR
5;Comercial;1,08;SC
2;Comercial;10,80;AL
1;Comercial;10,80;AM
25;Comercial;10,80;BA
14;Comercial;10,80;CE
1;Comercial;10,80;DF
3;Comercial;10,80;ES
16;Comercial;10,80;GO
3;Comercial;10,80;MA
62;Comercial;10,80;MG
9;Comercial;10,80;MS
10;Comercial;10,80;MT
3;Comercial;10,80;PA
5;Comercial;10,80;PB
16;Comercial;10,80;PE
10;Comercial;10,80;PI
17;Comercial;10,80;PR
3;Comercial;10,80;RJ
11;Comercial;10,80;RN
26;Comercial;10,80;RS
5;Comercial;10,80;SC
9;Comercial;10,80;SE
25;Comercial;10,80;SP
3;Comercial;10,80;TO
2;Comercial;108,00;AL
17;Comercial;108,00;BA
6;Comercial;108,00;CE
1;Comercial;108,00;DF
2;Comercial;108,00;ES
7;Comercial;108,00;GO
6;Comercial;108,00;MA
10;Comercial;108,00;MG
2;Comercial;108,00;MS
13;Comercial;108,00;MT
4;Comercial;108,00;PA
7;Comercial;108,00;PB
23;Comercial;108,00;PE
4;Comercial;108,00;PI
9;Comercial;108,00;PR
6;Comercial;108,00;RJ
34;Comercial;108,00;RN
2;Comercial;108,00;RO
18;Comercial;108,00;RS
